,Time,ParameterName,ParameterValue
0,2022-01-01T00:00:00Z,rrday,-1.0
1,2022-01-01T00:00:00Z,tday,-4.7
2,2022-01-01T00:00:00Z,snow,6.0
3,2022-01-01T00:00:00Z,tmin,-8.0
4,2022-01-01T00:00:00Z,tmax,-0.7
5,2022-01-01T00:00:00Z,TG_PT12H_min,NaN
6,2022-01-01T01:00:00Z,rrday,NaN
7,2022-01-01T01:00:00Z,tday,NaN
8,2022-01-01T01:00:00Z,snow,NaN
9,2022-01-01T01:00:00Z,tmin,NaN
10,2022-01-01T01:00:00Z,tmax,NaN
11,2022-01-01T01:00:00Z,TG_PT12H_min,NaN
12,2022-01-01T02:00:00Z,rrday,NaN
13,2022-01-01T02:00:00Z,tday,NaN
14,2022-01-01T02:00:00Z,snow,NaN
15,2022-01-01T02:00:00Z,tmin,NaN
16,2022-01-01T02:00:00Z,tmax,NaN
17,2022-01-01T02:00:00Z,TG_PT12H_min,NaN
18,2022-01-01T03:00:00Z,rrday,NaN
19,2022-01-01T03:00:00Z,tday,NaN
20,2022-01-01T03:00:00Z,snow,NaN
21,2022-01-01T03:00:00Z,tmin,NaN
22,2022-01-01T03:00:00Z,tmax,NaN
23,2022-01-01T03:00:00Z,TG_PT12H_min,NaN
24,2022-01-01T04:00:00Z,rrday,NaN
25,2022-01-01T04:00:00Z,tday,NaN
26,2022-01-01T04:00:00Z,snow,NaN
27,2022-01-01T04:00:00Z,tmin,NaN
28,2022-01-01T04:00:00Z,tmax,NaN
29,2022-01-01T04:00:00Z,TG_PT12H_min,NaN
30,2022-01-01T05:00:00Z,rrday,NaN
31,2022-01-01T05:00:00Z,tday,NaN
32,2022-01-01T05:00:00Z,snow,NaN
33,2022-01-01T05:00:00Z,tmin,NaN
34,2022-01-01T05:00:00Z,tmax,NaN
35,2022-01-01T05:00:00Z,TG_PT12H_min,NaN
36,2022-01-01T06:00:00Z,rrday,NaN
37,2022-01-01T06:00:00Z,tday,NaN
38,2022-01-01T06:00:00Z,snow,NaN
39,2022-01-01T06:00:00Z,tmin,NaN
40,2022-01-01T06:00:00Z,tmax,NaN
41,2022-01-01T06:00:00Z,TG_PT12H_min,-3.9
42,2022-01-01T07:00:00Z,rrday,NaN
43,2022-01-01T07:00:00Z,tday,NaN
44,2022-01-01T07:00:00Z,snow,NaN
45,2022-01-01T07:00:00Z,tmin,NaN
46,2022-01-01T07:00:00Z,tmax,NaN
47,2022-01-01T07:00:00Z,TG_PT12H_min,NaN
48,2022-01-01T08:00:00Z,rrday,NaN
49,2022-01-01T08:00:00Z,tday,NaN
50,2022-01-01T08:00:00Z,snow,NaN
51,2022-01-01T08:00:00Z,tmin,NaN
52,2022-01-01T08:00:00Z,tmax,NaN
53,2022-01-01T08:00:00Z,TG_PT12H_min,NaN
54,2022-01-01T09:00:00Z,rrday,NaN
55,2022-01-01T09:00:00Z,tday,NaN
56,2022-01-01T09:00:00Z,snow,NaN
57,2022-01-01T09:00:00Z,tmin,NaN
58,2022-01-01T09:00:00Z,tmax,NaN
59,2022-01-01T09:00:00Z,TG_PT12H_min,NaN
60,2022-01-01T10:00:00Z,rrday,NaN
61,2022-01-01T10:00:00Z,tday,NaN
62,2022-01-01T10:00:00Z,snow,NaN
63,2022-01-01T10:00:00Z,tmin,NaN
64,2022-01-01T10:00:00Z,tmax,NaN
65,2022-01-01T10:00:00Z,TG_PT12H_min,NaN
66,2022-01-01T11:00:00Z,rrday,NaN
67,2022-01-01T11:00:00Z,tday,NaN
68,2022-01-01T11:00:00Z,snow,NaN
69,2022-01-01T11:00:00Z,tmin,NaN
70,2022-01-01T11:00:00Z,tmax,NaN
71,2022-01-01T11:00:00Z,TG_PT12H_min,NaN
72,2022-01-01T12:00:00Z,rrday,NaN
73,2022-01-01T12:00:00Z,tday,NaN
74,2022-01-01T12:00:00Z,snow,NaN
75,2022-01-01T12:00:00Z,tmin,NaN
76,2022-01-01T12:00:00Z,tmax,NaN
77,2022-01-01T12:00:00Z,TG_PT12H_min,NaN
78,2022-01-01T13:00:00Z,rrday,NaN
79,2022-01-01T13:00:00Z,tday,NaN
80,2022-01-01T13:00:00Z,snow,NaN
81,2022-01-01T13:00:00Z,tmin,NaN
82,2022-01-01T13:00:00Z,tmax,NaN
83,2022-01-01T13:00:00Z,TG_PT12H_min,NaN
84,2022-01-01T14:00:00Z,rrday,NaN
85,2022-01-01T14:00:00Z,tday,NaN
