,date,sales
0,2023-01-01,5572
1,2023-01-02,9611
2,2023-01-03,4214
3,2023-01-04,1915
4,2023-01-05,5169
5,2023-01-06,8496
6,2023-01-07,5208
7,2023-01-08,8527
8,2023-01-09,6642
9,2023-01-10,7880
10,2023-01-11,3910
11,2023-01-12,3212
12,2023-01-13,4720
13,2023-01-14,5916
14,2023-01-15,3474
15,2023-01-16,7438
16,2023-01-17,5985
17,2023-01-18,7188
18,2023-01-19,5263
19,2023-01-20,4370
20,2023-01-21,4692
21,2023-01-22,9790
22,2023-01-23,3327
23,2023-01-24,7577
24,2023-01-25,5081
25,2023-01-26,1802
26,2023-01-27,8955
27,2023-01-28,7095
28,2023-01-29,4693
29,2023-01-30,9931
30,2023-01-31,3540
31,2023-02-01,4480
32,2023-02-02,1494
33,2023-02-03,1476
34,2023-02-04,5765
35,2023-02-05,1514
36,2023-02-06,4560
37,2023-02-07,5190
38,2023-02-08,9625
39,2023-02-09,8681
40,2023-02-10,6739
41,2023-02-11,6895
42,2023-02-12,9953
43,2023-02-13,5019
44,2023-02-14,9889
45,2023-02-15,7449
46,2023-02-16,3868
47,2023-02-17,7987
48,2023-02-18,8892
49,2023-02-19,1482
50,2023-02-20,7268
51,2023-02-21,1588
52,2023-02-22,2393
53,2023-02-23,9719
54,2023-02-24,2462
55,2023-02-25,3062
56,2023-02-26,4995
57,2023-02-27,3397
58,2023-02-28,8842
59,2023-03-01,9572
60,2023-03-02,6728
61,2023-03-03,7373
62,2023-03-04,3831
63,2023-03-05,5517
64,2023-03-06,9755
65,2023-03-07,8259
66,2023-03-08,1578
67,2023-03-09,6061
68,2023-03-10,8481
69,2023-03-11,1392
70,2023-03-12,3840
71,2023-03-13,4115
72,2023-03-14,1563
73,2023-03-15,8316
74,2023-03-16,4993
75,2023-03-17,6959
76,2023-03-18,2556
77,2023-03-19,3154
78,2023-03-20,4920
79,2023-03-21,8312
80,2023-03-22,8650
81,2023-03-23,3227
82,2023-03-24,7936
83,2023-03-25,6090
84,2023-03-26,5250
85,2023-03-27,3363
86,2023-03-28,6145
87,2023-03-29,2664
88,2023-03-30,6353
89,2023-03-31,1151
90,2023-04-01,4059
91,2023-04-02,4123
92,2023-04-03,8906
93,2023-04-04,3975
94,2023-04-05,9102
95,2023-04-06,5272
96,2023-04-07,4813
97,2023-04-08,4715
98,2023-04-09,8167
99,2023-04-10,8754
100,2023-04-11,1991
101,2023-04-12,8011
102,2023-04-13,3805
103,2023-04-14,9354
104,2023-04-15,4474
105,2023-04-16,6773
106,2023-04-17,4102
107,2023-04-18,8105
108,2023-04-19,2460
109,2023-04-20,3764
110,2023-04-21,6264
111,2023-04-22,4919
112,2023-04-23,2000
113,2023-04-24,6094
114,2023-04-25,2255
115,2023-04-26,3497
116,2023-04-27,1429
117,2023-04-28,3031
118,2023-04-29,3189
119,2023-04-30,7511
120,2023-05-01,8845
121,2023-05-02,6336
122,2023-05-03,8952
123,2023-05-04,6803
124,2023-05-05,5449
125,2023-05-06,9216
126,2023-05-07,3432
127,2023-05-08,4927
128,2023-05-09,8954
129,2023-05-10,1434
130,2023-05-11,8233
131,2023-05-12,6096
132,2023-05-13,4793
133,2023-05-14,6401
134,2023-05-15,4722
135,2023-05-16,6192
136,2023-05-17,6743
137,2023-05-18,2820
138,2023-05-19,5658
139,2023-05-20,1623
140,2023-05-21,3611
141,2023-05-22,4212
142,2023-05-23,3254
143,2023-05-24,5233
144,2023-05-25,8366
145,2023-05-26,9651
146,2023-05-27,1901
147,2023-05-28,7679
148,2023-05-29,4563
149,2023-05-30,5298
150,2023-05-31,4085
151,2023-06-01,2924
152,2023-06-02,7869
153,2023-06-03,8788
