air_temperature_2m,time
271.235962,1647043200.0
270.427429,1647046800.0
270.260437,1647050400.0
270.458069,1647054000.0
270.628296,1647057600.0
270.871765,1647061200.0
271.087219,1647064800.0
271.236572,1647068400.0
271.585968,1647072000.0
271.985413,1647075600.0
272.073364,1647079200.0
272.657532,1647082800.0
273.898163,1647086400.0
274.733887,1647090000.0
275.121887,1647093600.0
274.588531,1647097200.0
273.111908,1647100800.0
271.561005,1647104400.0
270.67807,1647108000.0
269.819458,1647111600.0
269.06311,1647115200.0
268.568604,1647118800.0
268.123108,1647122400.0
267.739227,1647126000.0
269.878296,1647129600.0
268.448853,1647133200.0
267.815521,1647136800.0
267.218872,1647140400.0
266.657379,1647144000.0
266.297699,1647147600.0
266.705322,1647151200.0
268.700073,1647154800.0
271.025238,1647158400.0
273.674805,1647162000.0
275.6315,1647165600.0
277.481232,1647169200.0
278.827148,1647172800.0
278.960175,1647176400.0
278.557129,1647180000.0
277.568848,1647183600.0
275.930908,1647187200.0
274.016724,1647190800.0
272.158936,1647194400.0
271.11084,1647198000.0
270.082947,1647201600.0
269.002014,1647205200.0
268.210449,1647208800.0
267.789124,1647212400.0
267.302551,1647216000.0
267.271729,1647219600.0
266.947906,1647223200.0
266.646667,1647226800.0
266.335175,1647230400.0
265.99939,1647234000.0
266.315338,1647237600.0
268.01947,1647241200.0
270.928528,1647244800.0
274.579468,1647248400.0
277.921997,1647252000.0
279.933167,1647255600.0
280.689545,1647259200.0
280.628113,1647262800.0
279.702209,1647266400.0
278.251282,1647270000.0
275.836029,1647273600.0
273.387573,1647277200.0
271.165405,1647280800.0
270.036194,1647284400.0
269.339539,1647288000.0
269.048035,1647291600.0
268.530212,1647295200.0
268.018463,1647298800.0
267.184082,1647302400.0
266.828003,1647306000.0
266.604645,1647309600.0
266.916321,1647313200.0
267.102112,1647316800.0
266.804382,1647320400.0
267.140106,1647324000.0
269.157349,1647327600.0
271.847137,1647331200.0
274.628448,1647334800.0
276.632385,1647338400.0
277.79306,1647342000.0
278.522125,1647345600.0
278.853882,1647349200.0
278.660217,1647352800.0
277.429443,1647356400.0
275.564636,1647360000.0
273.407288,1647363600.0
271.665771,1647367200.0
270.086914,1647370800.0
269.032898,1647374400.0
268.240784,1647378000.0
267.600281,1647381600.0
266.905243,1647385200.0
267.346649,1647388800.0
267.167572,1647392400.0
266.720734,1647396000.0
266.235992,1647399600.0
266.239655,1647403200.0
265.954254,1647406800.0
266.40329,1647410400.0
268.248627,1647414000.0
271.254913,1647417600.0
274.260834,1647421200.0
275.948364,1647424800.0
277.277863,1647428400.0
278.2948,1647432000.0
279.00769,1647435600.0
278.442749,1647439200.0
276.832092,1647442800.0
274.544983,1647446400.0
272.102112,1647450000.0
270.675934,1647453600.0
269.674622,1647457200.0
269.271606,1647460800.0
268.715515,1647464400.0
267.988525,1647468000.0
267.62326,1647471600.0
268.419189,1647475200.0
267.904175,1647478800.0
267.639832,1647482400.0
267.371887,1647486000.0
266.874176,1647489600.0
266.720215,1647493200.0
267.997314,1647496800.0
270.19043,1647500400.0
273.1474,1647504000.0
275.152649,1647507600.0
276.82135,1647511200.0
278.546509,1647514800.0
279.573181,1647518400.0
279.943176,1647522000.0
279.950439,1647525600.0
278.835693,1647529200.0
276.893433,1647532800.0
274.595123,1647536400.0
273.089844,1647540000.0
271.982635,1647543600.0
271.429443,1647547200.0
270.864044,1647550800.0
270.241028,1647554400.0
269.663818,1647558000.0
269.851654,1647561600.0
269.463531,1647565200.0
269.21347,1647568800.0
268.967773,1647572400.0
268.825623,1647576000.0
268.730347,1647579600.0
269.734161,1647583200.0
272.23407,1647586800.0
273.958771,1647590400.0
275.104492,1647594000.0
275.945557,1647597600.0
276.253418,1647601200.0
275.886536,1647604800.0
275.495483,1647608400.0
275.271515,1647612000.0
275.066528,1647615600.0
274.873688,1647619200.0
274.758972,1647622800.0
274.853516,1647626400.0
274.857361,1647630000.0
274.963104,1647633600.0
274.870331,1647637200.0
274.893982,1647640800.0
274.771271,1647644400.0
275.706268,1647648000.0
275.240021,1647651600.0
275.232178,1647655200.0
275.005127,1647658800.0
274.713135,1647662400.0
273.23703,1647666000.0
273.821838,1647669600.0
274.743774,1647673200.0
275.887756,1647676800.0
277.445099,1647680400.0
278.709381,1647684000.0
279.69516,1647687600.0
280.267426,1647691200.0
280.340118,1647694800.0
280.000031,1647698400.0
279.299713,1647702000.0
278.382507,1647705600.0
277.372192,1647709200.0
276.76123,1647712800.0
276.163269,1647716400.0
275.60144,1647720000.0
274.663696,1647723600.0
274.454437,1647727200.0
274.145599,1647730800.0
274.510742,1647734400.0
274.264862,1647738000.0
274.110046,1647741600.0
273.604828,1647745200.0
273.846863,1647748800.0
274.052399,1647752400.0
274.436432,1647756000.0
276.001526,1647759600.0
277.576447,1647763200.0
279.070343,1647766800.0
280.528015,1647770400.0
281.460663,1647774000.0
282.138031,1647777600.0
282.431213,1647781200.0
282.181091,1647784800.0
281.292267,1647788400.0
279.861359,1647792000.0
277.927948,1647795600.0
276.903564,1647799200.0
276.162933,1647802800.0
275.470856,1647806400.0
274.717529,1647810000.0
274.173676,1647813600.0
274.102997,1647817200.0
273.80835,1647820800.0
273.086365,1647824400.0
272.204498,1647828000.0
272.059845,1647831600.0
272.110046,1647835200.0
271.990479,1647838800.0
273.647461,1647842400.0
276.075562,1647846000.0
278.429047,1647849600.0
280.273743,1647853200.0
281.706787,1647856800.0
282.696564,1647860400.0
282.954712,1647864000.0
282.892761,1647867600.0
282.483795,1647871200.0
281.233887,1647874800.0
279.177246,1647878400.0
277.086945,1647882000.0
276.340973,1647885600.0
276.23172,1647889200.0
275.664307,1647892800.0
273.972351,1647896400.0
272.638,1647900000.0
271.765442,1647903600.0
273.352173,1647907200.0
272.914276,1647910800.0
272.476013,1647914400.0
272.161499,1647918000.0
271.952454,1647921600.0
271.652985,1647925200.0
273.191162,1647928800.0
275.583191,1647932400.0
276.990173,1647936000.0
278.324615,1647939600.0
279.557861,1647943200.0
280.367065,1647946800.0
280.743927,1647950400.0
280.70105,1647954000.0
280.237946,1647957600.0
279.471924,1647961200.0
278.129028,1647964800.0
275.795197,1647968400.0
274.492798,1647972000.0
274.236908,1647975600.0
273.523193,1647979200.0
272.975159,1647982800.0
272.266388,1647986400.0
271.001038,1647990000.0
270.319275,1647993600.0
270.311646,1647997200.0
269.351868,1648000800.0
268.688721,1648004400.0
268.254944,1648008000.0
268.359253,1648011600.0
269.503723,1648015200.0
272.298218,1648018800.0
274.161621,1648022400.0
275.640198,1648026000.0
277.123779,1648029600.0
278.692871,1648033200.0
279.662445,1648036800.0
280.137543,1648040400.0
280.283386,1648044000.0
279.837524,1648047600.0
278.175842,1648051200.0
275.699036,1648054800.0
274.255493,1648058400.0
273.345428,1648062000.0
272.788269,1648065600.0
272.436737,1648069200.0
272.218262,1648072800.0
271.889893,1648076400.0
273.138794,1648080000.0
274.35968,1648083600.0
274.257324,1648087200.0
274.121582,1648090800.0
274.010437,1648094400.0
274.279755,1648098000.0
275.102905,1648101600.0
276.439087,1648105200.0
277.638,1648108800.0
278.626709,1648112400.0
278.990814,1648116000.0
278.82074,1648119600.0
278.781219,1648123200.0
278.743713,1648126800.0
278.585876,1648130400.0
278.30896,1648134000.0
277.618042,1648137600.0
276.479797,1648141200.0
275.986816,1648144800.0
275.639404,1648148400.0
274.834167,1648152000.0
274.424835,1648155600.0
274.107269,1648159200.0
273.554535,1648162800.0
274.353271,1648166400.0
274.659149,1648170000.0
274.673584,1648173600.0
274.562134,1648177200.0
274.529114,1648180800.0
274.681122,1648184400.0
